model_name,organization,atlas_openness_status,jgb_level,jgb_class,access,model_control,data_control,autonomy,trust,evidence_status,confidence,reason,source
Qwen3.5-9B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3.5-27B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3.5-35B-A3B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3.5-122B-A10B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3.5-397B-A17B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3.6-27B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3.6-35B-A3B,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Qwen3-Next-80B-A3B-Instruct,Qwen,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Gemma-4-12B-IT,Google,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
Gemma-4-26B-A4B,Google,Open weights,unknown,unknown,unknown,unknown,unknown,unknown,unknown,needs verification,low,Atlas says Open weights but JGB requires evidence of conditions and rights; do not infer level 3,models_atlas_2026_base.csv
